entity,iter,beta,truck,plant,trips,delivered,selected,wait_pl,wait_cd,no_empty,no_full,util_%
truck,0,0.0,1.0,1,15.0,30,30,119.43,0.0,0.0,11.0,75.12
truck,0,0.0,2.0,2,16.0,22,21,86.57,0.0,0.0,8.0,81.96
truck,0,0.0,3.0,3,16.0,11,12,84.16,1.81,3.0,8.0,82.09
truck,0,0.0,4.0,1,16.0,30,30,72.12,0.0,0.0,6.0,84.98
plant,0,0.0,,1,,30,30,,,,,
plant,0,0.0,,2,,22,21,,,,,
plant,0,0.0,,3,,11,12,,,,,
truck,1,0.0,1.0,1,16.0,28,28,59.82,0.0,0.0,6.0,87.54
truck,1,0.0,2.0,2,15.0,20,20,100.57,0.0,0.0,7.0,79.05
truck,1,0.0,3.0,3,15.0,13,14,138.73,2.92,3.0,11.0,70.49
truck,1,0.0,4.0,1,16.0,28,28,71.43,0.0,0.0,6.0,85.12
plant,1,0.0,,1,,28,28,,,,,
plant,1,0.0,,2,,20,20,,,,,
plant,1,0.0,,3,,13,14,,,,,
truck,2,0.0,1.0,1,16.0,29,29,96.71,0.0,0.0,8.0,79.85
truck,2,0.0,2.0,2,15.0,18,19,119.7,5.8,3.0,10.0,73.86
truck,2,0.0,3.0,3,17.0,15,15,27.46,0.0,0.0,2.0,94.28
truck,2,0.0,4.0,1,15.0,29,29,110.99,0.0,0.0,9.0,76.88
plant,2,0.0,,1,,29,29,,,,,
plant,2,0.0,,2,,18,19,,,,,
plant,2,0.0,,3,,15,15,,,,,
truck,3,0.0,1.0,1,16.0,30,30,84.22,0.0,0.0,7.0,82.45
truck,3,0.0,2.0,2,15.0,19,19,113.49,4.53,2.0,10.0,75.41
truck,3,0.0,3.0,3,15.0,13,13,103.15,0.0,0.0,9.0,78.51
truck,3,0.0,4.0,1,16.0,30,30,74.98,0.0,0.0,6.0,84.38
plant,3,0.0,,1,,30,30,,,,,
plant,3,0.0,,2,,19,19,,,,,
plant,3,0.0,,3,,13,13,,,,,
truck,4,0.0,1.0,1,15.0,29,29,134.11,0.0,0.0,10.0,72.06
truck,4,0.0,2.0,2,17.0,20,20,36.66,0.0,0.0,3.0,92.36
truck,4,0.0,3.0,3,15.0,13,13,109.09,3.97,2.0,10.0,76.45
truck,4,0.0,4.0,1,15.0,29,29,110.18,0.0,0.0,10.0,77.05
plant,4,0.0,,1,,29,29,,,,,
