entity,iter,truck,plant,trips,delivered,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,0,1.0,1,30.0,30,3.399776110072686,27.542151880338693,10.0,3.0,93.55,0,0,1
truck,0,2.0,2,26.0,26,0.0,1.7495863275445345,2.0,0.0,99.64,0,0,1
truck,0,3.0,3,23.0,23,0.0,0.4075918994515746,1.0,0.0,99.92,0,0,1
plant,0,,1,,30,,,,,,0,0,1
plant,0,,2,,26,,,,,,0,0,1
plant,0,,3,,23,,,,,,0,0,1
truck,1,1.0,1,30.0,29,1.5883806735182446,34.57530453841644,12.0,2.0,92.47,0,0,0
truck,1,2.0,2,26.0,25,0.0,4.151366840506796,2.0,0.0,99.14,0,0,0
truck,1,3.0,3,23.0,23,0.0,2.5345046085965492,3.0,0.0,99.47,0,0,1
plant,1,,1,,29,,,,,,0,0,0
plant,1,,2,,25,,,,,,0,0,0
plant,1,,3,,23,,,,,,0,0,1
truck,2,1.0,1,31.0,29,3.3456924392543215,26.027656272372454,10.0,4.0,93.88,0,0,0
truck,2,2.0,2,26.0,25,0.0,6.167932467386095,3.0,0.0,98.72,0,0,0
truck,2,3.0,3,23.0,23,0.0,1.480808062592132,1.0,0.0,99.69,0,0,1
plant,2,,1,,29,,,,,,0,0,0
plant,2,,2,,25,,,,,,0,0,0
plant,2,,3,,23,,,,,,0,0,1
truck,3,1.0,1,31.0,31,2.8544586776112055,11.234644105431776,4.0,3.0,97.06,0,0,1
truck,3,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,0,0,0
truck,3,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,3,,1,,31,,,,,,0,0,1
plant,3,,2,,25,,,,,,0,0,0
plant,3,,3,,23,,,,,,0,0,1
truck,4,1.0,1,29.0,29,3.69202171726036,46.345897582921936,11.0,6.0,89.58,0,0,1
truck,4,2.0,2,26.0,24,0.0,19.47366296788988,5.0,0.0,95.94,1,0,0
truck,4,3.0,3,23.0,22,0.0,1.912191018331356,3.0,0.0,99.6,0,0,0
plant,4,,1,,29,,,,,,0,0,1
plant,4,,2,,24,,,,,,1,0,0
plant,4,,3,,22,,,,,,0,0,0
truck,5,1.0,1,32.0,31,0.2621186295661886,7.191285955487089,4.0,3.0,98.45,1,0,0
truck,5,2.0,2,26.0,26,0.0,0.0,0.0,0.0,100.0,0,0,1
truck,5,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,5,,1,,31,,,,,,1,0,0
plant,5,,2,,26,,,,,,0,0,1
plant,5,,3,,23,,,,,,0,0,1
truck,6,1.0,1,30.0,29,5.997304236299442,29.82027206938254,12.0,5.0,92.54,0,0,0
truck,6,2.0,2,26.0,25,0.0,0.6857757503135815,2.0,0.0,99.86,0,0,0
