entity,iter,beta,truck,plant,trips,delivered,selected,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,0,0.0,1.0,1,27.0,29,30,5.38,2.01,1.0,3.0,98.46,1,0,0
truck,0,0.0,2.0,2,26.0,25,26,0.78,18.08,15.0,1.0,96.07,0,0,0
truck,0,0.0,3.0,3,28.0,25,25,0.0,7.03,8.0,0.0,98.53,0,0,1
plant,0,0.0,,1,,29,30,,,,,,1,0,0
plant,0,0.0,,2,,25,26,,,,,,0,0,0
plant,0,0.0,,3,,25,25,,,,,,0,0,1
truck,1,0.0,1.0,1,29.0,30,31,0.0,1.51,3.0,0.0,99.69,1,0,0
truck,1,0.0,2.0,2,27.0,25,26,5.1,0.0,0.0,1.0,98.94,0,0,0
truck,1,0.0,3.0,3,26.0,24,25,2.81,0.0,0.0,1.0,99.41,1,0,0
plant,1,0.0,,1,,30,31,,,,,,1,0,0
plant,1,0.0,,2,,25,26,,,,,,0,0,0
plant,1,0.0,,3,,24,25,,,,,,1,0,0
truck,2,0.0,1.0,1,27.0,29,30,3.62,10.74,9.0,2.0,97.01,0,0,0
truck,2,0.0,2.0,2,26.0,26,27,2.05,3.0,2.0,2.0,98.95,0,1,0
truck,2,0.0,3.0,3,27.0,24,23,2.44,24.83,13.0,3.0,94.32,1,0,2
plant,2,0.0,,1,,29,30,,,,,,0,0,0
plant,2,0.0,,2,,26,27,,,,,,0,1,0
plant,2,0.0,,3,,24,23,,,,,,1,0,2
truck,3,0.0,1.0,1,27.0,29,30,0.71,15.8,11.0,2.0,96.56,1,0,0
truck,3,0.0,2.0,2,26.0,24,25,4.86,10.32,8.0,3.0,96.84,0,0,0
truck,3,0.0,3.0,3,27.0,24,25,0.0,11.26,10.0,0.0,97.65,1,0,0
plant,3,0.0,,1,,29,30,,,,,,1,0,0
plant,3,0.0,,2,,24,25,,,,,,0,0,0
plant,3,0.0,,3,,24,25,,,,,,1,0,0
truck,4,0.0,1.0,1,28.0,27,28,3.71,27.73,15.0,3.0,93.45,1,0,0
truck,4,0.0,2.0,2,26.0,25,26,0.0,8.51,7.0,0.0,98.23,0,0,0
truck,4,0.0,3.0,3,26.0,24,25,0.0,19.77,15.0,0.0,95.88,1,0,0
plant,4,0.0,,1,,27,28,,,,,,1,0,0
plant,4,0.0,,2,,25,26,,,,,,0,0,0
plant,4,0.0,,3,,24,25,,,,,,1,0,0
truck,5,0.0,1.0,1,27.0,29,29,0.0,0.0,0.0,0.0,100.0,1,0,1
truck,5,0.0,2.0,2,26.0,26,27,1.35,14.13,8.0,1.0,96.77,1,0,0
truck,5,0.0,3.0,3,27.0,23,24,16.8,4.18,4.0,6.0,95.63,0,0,0
plant,5,0.0,,1,,29,29,,,,,,1,0,1
plant,5,0.0,,2,,26,27,,,,,,1,0,0
plant,5,0.0,,3,,23,24,,,,,,0,0,0
truck,6,0.0,1.0,1,27.0,31,31,18.07,0.0,0.0,5.0,96.24,0,0,1
truck,6,0.0,2.0,2,27.0,25,26,7.98,0.11,1.0,4.0,98.31,0,0,0
truck,6,0.0,3.0,3,26.0,22,23,7.85,0.0,0.0,1.0,98.36,1,0,0
plant,6,0.0,,1,,31,31,,,,,,0,0,1
plant,6,0.0,,2,,25,26,,,,,,0,0,0
plant,6,0.0,,3,,22,23,,,,,,1,0,0
truck,7,0.0,1.0,1,27.0,29,30,15.12,3.94,3.0,5.0,96.03,0,0,0
truck,7,0.0,2.0,2,26.0,26,26,0.0,1.99,4.0,0.0,99.59,0,0,1
truck,7,0.0,3.0,3,27.0,24,24,0.47,11.67,7.0,1.0,97.47,0,0,1
plant,7,0.0,,1,,29,30,,,,,,0,0,0
plant,7,0.0,,2,,26,26,,,,,,0,0,1
plant,7,0.0,,3,,24,24,,,,,,0,0,1
truck,8,0.0,1.0,1,27.0,29,30,13.31,8.54,6.0,4.0,95.45,0,0,0
truck,8,0.0,2.0,2,27.0,27,27,6.24,12.59,7.0,4.0,96.08,0,0,1
truck,8,0.0,3.0,3,26.0,23,23,1.41,2.54,4.0,1.0,99.18,1,0,1
plant,8,0.0,,1,,29,30,,,,,,0,0,0
plant,8,0.0,,2,,27,27,,,,,,0,0,1
plant,8,0.0,,3,,23,23,,,,,,1,0,1
truck,9,0.0,1.0,1,28.0,29,29,1.6,5.6,3.0,3.0,98.5,0,0,1
truck,9,0.0,2.0,2,26.0,26,27,4.19,0.0,0.0,3.0,99.13,0,1,0
truck,9,0.0,3.0,3,26.0,25,24,0.0,2.82,3.0,0.0,99.41,1,0,2
plant,9,0.0,,1,,29,29,,,,,,0,0,1
plant,9,0.0,,2,,26,27,,,,,,0,1,0
plant,9,0.0,,3,,25,24,,,,,,1,0,2
truck,10,0.0,1.0,1,27.0,29,29,1.13,16.6,13.0,2.0,96.31,0,0,1
truck,10,0.0,2.0,2,26.0,25,26,1.07,1.44,1.0,1.0,99.48,0,0,0
truck,10,0.0,3.0,3,27.0,24,25,4.28,5.63,7.0,3.0,97.94,0,0,0
plant,10,0.0,,1,,29,29,,,,,,0,0,1
plant,10,0.0,,2,,25,26,,,,,,0,0,0
plant,10,0.0,,3,,24,25,,,,,,0,0,0
truck,11,0.0,1.0,1,27.0,28,29,13.09,22.72,14.0,7.0,92.54,0,0,0
truck,11,0.0,2.0,2,27.0,26,27,0.0,5.76,5.0,0.0,98.8,1,0,0
truck,11,0.0,3.0,3,26.0,23,24,0.62,12.95,8.0,1.0,97.17,1,0,0
plant,11,0.0,,1,,28,29,,,,,,0,0,0
plant,11,0.0,,2,,26,27,,,,,,1,0,0
plant,11,0.0,,3,,23,24,,,,,,1,0,0
truck,12,0.0,1.0,1,28.0,28,29,0.0,0.88,2.0,0.0,99.82,0,0,0
truck,12,0.0,2.0,2,27.0,26,27,18.0,1.41,1.0,7.0,95.96,0,0,0
truck,12,0.0,3.0,3,27.0,24,25,1.2,4.42,5.0,2.0,98.83,1,0,0
plant,12,0.0,,1,,28,29,,,,,,0,0,0
plant,12,0.0,,2,,26,27,,,,,,0,0,0
plant,12,0.0,,3,,24,25,,,,,,1,0,0
truck,13,0.0,1.0,1,27.0,28,29,1.59,9.43,7.0,2.0,97.7,0,0,0
truck,13,0.0,2.0,2,25.0,26,27,7.65,0.24,2.0,4.0,98.36,1,0,0
truck,13,0.0,3.0,3,28.0,23,24,24.64,0.51,1.0,6.0,94.76,0,0,0
plant,13,0.0,,1,,28,29,,,,,,0,0,0
plant,13,0.0,,2,,26,27,,,,,,1,0,0
plant,13,0.0,,3,,23,24,,,,,,0,0,0
truck,14,0.0,1.0,1,28.0,29,30,1.02,4.48,3.0,1.0,98.85,0,0,0
truck,14,0.0,2.0,2,27.0,25,26,3.9,13.01,6.0,2.0,96.48,1,0,0
truck,14,0.0,3.0,3,26.0,24,25,2.04,4.91,4.0,1.0,98.55,0,0,0
plant,14,0.0,,1,,29,30,,,,,,0,0,0
plant,14,0.0,,2,,25,26,,,,,,1,0,0
plant,14,0.0,,3,,24,25,,,,,,0,0,0
truck,15,0.0,1.0,1,29.0,28,29,10.2,4.72,4.0,5.0,96.89,1,0,0
truck,15,0.0,2.0,2,26.0,26,27,0.0,1.94,4.0,0.0,99.6,0,0,0
truck,15,0.0,3.0,3,26.0,25,25,0.0,5.45,6.0,0.0,98.87,0,0,1
plant,15,0.0,,1,,28,29,,,,,,1,0,0
plant,15,0.0,,2,,26,27,,,,,,0,0,0
plant,15,0.0,,3,,25,25,,,,,,0,0,1
truck,16,0.0,1.0,1,27.0,28,29,0.0,13.57,10.0,0.0,97.17,1,0,0
truck,16,0.0,2.0,2,27.0,25,26,5.4,11.68,7.0,2.0,96.44,1,0,0
truck,16,0.0,3.0,3,26.0,24,25,0.54,5.05,6.0,1.0,98.84,0,0,0
plant,16,0.0,,1,,28,29,,,,,,1,0,0
plant,16,0.0,,2,,25,26,,,,,,1,0,0
plant,16,0.0,,3,,24,25,,,,,,0,0,0
truck,17,0.0,1.0,1,28.0,31,32,18.63,0.07,1.0,5.0,96.1,1,0,0
truck,17,0.0,2.0,2,27.0,27,28,2.18,0.0,0.0,2.0,99.55,1,0,0
truck,17,0.0,3.0,3,26.0,21,21,10.0,1.34,3.0,3.0,97.64,0,0,1
plant,17,0.0,,1,,31,32,,,,,,1,0,0
plant,17,0.0,,2,,27,28,,,,,,1,0,0
plant,17,0.0,,3,,21,21,,,,,,0,0,1
truck,18,0.0,1.0,1,27.0,30,31,25.18,0.0,0.0,6.0,94.75,1,0,0
truck,18,0.0,2.0,2,26.0,27,27,10.05,0.74,1.0,3.0,97.75,0,0,1
truck,18,0.0,3.0,3,27.0,21,22,17.14,3.24,4.0,3.0,95.76,1,0,0
plant,18,0.0,,1,,30,31,,,,,,1,0,0
plant,18,0.0,,2,,27,27,,,,,,0,0,1
plant,18,0.0,,3,,21,22,,,,,,1,0,0
truck,19,0.0,1.0,1,27.0,30,31,13.19,0.0,0.0,3.0,97.25,0,0,0
truck,19,0.0,2.0,2,26.0,27,27,9.6,9.33,6.0,3.0,96.06,1,0,1
truck,19,0.0,3.0,3,26.0,20,21,23.8,2.95,2.0,7.0,94.43,1,0,0
plant,19,0.0,,1,,30,31,,,,,,0,0,0
plant,19,0.0,,2,,27,27,,,,,,1,0,1
plant,19,0.0,,3,,20,21,,,,,,1,0,0
truck,20,0.0,1.0,1,26.0,30,31,12.36,2.06,4.0,6.0,97.0,1,0,0
truck,20,0.0,2.0,2,27.0,26,27,20.56,0.0,0.0,4.0,95.72,0,0,0
truck,20,0.0,3.0,3,27.0,21,22,17.04,0.0,0.0,4.0,96.45,1,0,0
plant,20,0.0,,1,,30,31,,,,,,1,0,0
plant,20,0.0,,2,,26,27,,,,,,0,0,0
plant,20,0.0,,3,,21,22,,,,,,1,0,0
truck,21,0.0,1.0,1,27.0,28,29,1.2,24.51,13.0,1.0,94.64,0,0,0
truck,21,0.0,2.0,2,27.0,26,26,8.2,0.08,1.0,5.0,98.28,0,0,1
truck,21,0.0,3.0,3,26.0,24,25,4.99,0.0,0.0,2.0,98.96,0,0,0
plant,21,0.0,,1,,28,29,,,,,,0,0,0
plant,21,0.0,,2,,26,26,,,,,,0,0,1
plant,21,0.0,,3,,24,25,,,,,,0,0,0
truck,22,0.0,1.0,1,27.0,29,29,5.19,22.34,15.0,3.0,94.27,1,0,1
truck,22,0.0,2.0,2,26.0,24,25,6.06,11.73,7.0,2.0,96.29,0,0,0
truck,22,0.0,3.0,3,25.0,23,24,24.57,1.12,1.0,6.0,94.65,1,0,0
plant,22,0.0,,1,,29,29,,,,,,1,0,1
plant,22,0.0,,2,,24,25,,,,,,0,0,0
plant,22,0.0,,3,,23,24,,,,,,1,0,0
truck,23,0.0,1.0,1,26.0,27,28,5.94,11.6,7.0,2.0,96.35,0,0,0
truck,23,0.0,2.0,2,27.0,25,26,9.8,5.21,4.0,2.0,96.87,0,0,0
truck,23,0.0,3.0,3,26.0,24,25,12.91,3.66,5.0,5.0,96.55,1,0,0
plant,23,0.0,,1,,27,28,,,,,,0,0,0
plant,23,0.0,,2,,25,26,,,,,,0,0,0
plant,23,0.0,,3,,24,25,,,,,,1,0,0
